estacion_id,fecha,hora,nivel_agua_m,velocidad_ms,caudal_m3_s,temperatura_C,pH,oxigeno_disuelto_mg_L,turbidez_NTU,conductividad_uS_cm
AMZ-IQT-001,2023-05-30,07:00,41.67,1.019,161235,28.6,6.32,6.69,231,98
AMZ-IQT-001,2023-05-31,10:00,42.37,1.036,163937,27.4,6.56,6.41,227,88
AMZ-IQT-001,2023-06-01,06:00,29.34,0.717,113518,28.4,6.75,7.62,152,85
AMZ-IQT-001,2023-06-02,11:00,31.62,0.773,122328,27.1,6.55,6.2,180,72
AMZ-IQT-001,2023-06-03,07:00,30.19,0.738,116794,27.0,6.73,5.69,144,83
AMZ-IQT-001,2023-06-04,13:00,30.61,0.748,118444,27.7,6.11,6.94,166,78
AMZ-IQT-001,2023-06-05,14:00,31.8,0.777,123054,28.6,6.5,5.97,190,79
AMZ-IQT-001,2023-06-06,16:00,30.9,0.755,119547,27.2,6.33,6.54,185,78
AMZ-IQT-001,2023-06-07,11:00,28.96,0.708,112031,28.3,6.7,5.6,167,93
AMZ-IQT-001,2023-06-08,11:00,31.54,0.771,122026,27.7,6.5,5.98,188,95
AMZ-IQT-001,2023-06-09,08:00,28.84,0.705,111595,27.9,6.44,6.0,187,93
AMZ-IQT-001,2023-06-10,14:00,30.77,0.752,119040,29.0,6.65,7.25,173,87
AMZ-IQT-001,2023-06-11,09:00,30.79,0.753,119118,29.2,6.58,6.61,168,84
AMZ-IQT-001,2023-06-12,13:00,30.4,0.743,117606,29.2,6.96,6.66,170,74
AMZ-IQT-001,2023-06-13,11:00,26.48,0.647,102435,28.8,6.47,6.81,136,83
AMZ-IQT-001,2023-06-14,12:00,31.14,0.761,120468,26.9,6.47,6.43,196,101
AMZ-IQT-001,2023-06-15,07:00,28.19,0.689,109059,28.0,6.69,5.84,163,90
AMZ-IQT-001,2023-06-16,09:00,32.15,0.786,124396,27.5,6.47,6.84,159,91
AMZ-IQT-001,2023-06-17,06:00,30.48,0.745,117939,28.4,6.23,7.67,166,92
AMZ-IQT-001,2023-06-18,07:00,30.23,0.739,116969,28.4,6.7,6.36,195,70
AMZ-IQT-001,2023-06-19,14:00,33.36,0.815,129055,28.4,6.78,6.77,171,101
AMZ-IQT-001,2023-06-20,10:00,31.24,0.764,120875,30.0,6.1,6.18,181,65
AMZ-IQT-001,2023-06-21,16:00,32.18,0.786,124486,28.0,6.52,6.03,199,92
AMZ-IQT-001,2023-06-22,17:00,32.06,0.784,124049,29.0,6.58,6.25,194,73
AMZ-IQT-001,2023-06-23,07:00,29.59,0.723,114488,29.4,6.41,6.72,179,67
AMZ-IQT-001,2023-06-24,17:00,29.82,0.729,115394,30.7,6.61,7.21,178,92
AMZ-IQT-001,2023-06-25,15:00,32.2,0.787,124580,28.3,6.58,5.24,195,95
AMZ-IQT-001,2023-06-26,14:00,31.1,0.76,120318,28.5,6.5,6.35,160,65
AMZ-IQT-001,2023-06-27,12:00,29.05,0.71,112381,28.4,6.34,6.25,180,78
AMZ-IQT-001,2023-06-28,15:00,28.76,0.703,111260,29.7,6.67,6.28,163,89
AMZ-IQT-001,2023-06-29,07:00,31.38,0.767,121415,31.2,6.44,6.59,169,87
AMZ-IQT-001,2023-06-30,07:00,30.58,0.748,118327,29.5,6.31,6.16,205,75
AMZ-IQT-001,2023-07-01,11:00,30.66,0.749,118618,30.6,6.59,6.85,199,73
AMZ-IQT-001,2023-07-02,06:00,30.12,0.736,116547,29.4,6.47,6.51,158,80
AMZ-IQT-001,2023-07-03,13:00,32.12,0.785,124290,28.9,6.74,6.32,202,81
AMZ-IQT-001,2023-07-04,06:00,28.87,0.706,111714,29.3,6.15,6.59,180,88
AMZ-IQT-001,2023-07-05,15:00,32.99,0.806,127652,30.0,6.53,7.56,179,97
AMZ-IQT-001,2023-07-06,14:00,30.41,0.743,117641,29.0,6.2,7.22,178,77
AMZ-IQT-001,2023-07-07,07:00,32.11,0.785,124218,28.9,6.16,6.93,200,83
AMZ-IQT-001,2023-07-08,13:00,30.69,0.75,118751,29.3,6.41,7.32,158,100
AMZ-IQT-001,2023-07-09,06:00,30.22,0.739,116918,30.0,6.48,6.64,152,89
AMZ-IQT-001,2023-07-10,10:00,31.15,0.761,120513,30.1,6.43,6.51,167,94
AMZ-IQT-001,2023-07-11,11:00,31.3,0.765,121083,30.4,6.19,6.49,161,98
AMZ-IQT-001,2023-07-12,14:00,31.83,0.778,123152,29.7,6.29,6.75,176,83
AMZ-IQT-001,2023-07-13,12:00,29.68,0.725,114833,27.9,6.46,6.37,165,89
AMZ-IQT-001,2023-07-14,07:00,31.6,0.772,122259,30.3,6.34,5.68,178,72
AMZ-IQT-001,2023-07-15,06:00,31.05,0.759,120119,31.2,6.49,6.83,183,77
AMZ-IQT-001,2023-07-16,14:00,29.31,0.716,113418,30.0,6.42,6.08,172,69
AMZ-IQT-001,2023-07-17,16:00,33.31,0.814,128860,31.2,6.5,6.87,167,77
AMZ-IQT-001,2023-07-18,09:00,31.25,0.764,120899,31.5,6.34,6.35,186,88
