estacion_id,nombre_estacion,tipo_estacion,distancia_desde_iquitos_km,latitud_decimal,longitud_decimal,altitud_msnm,ancho_local_m,profundidad_media_m,profundidad_maxima_m,velocidad_superficial_ms,area_seccion_transversal_m2,perimetro_mojado_m,temperatura_agua_C,pH,conductividad_uS_cm,turbidez_NTU,oxigeno_disuelto_mg_L,solidos_suspendidos_mg_L,difusividad_longitudinal_m2_s,difusividad_transversal_m2_s,difusividad_vertical_m2_s,coef_dispersion_longitudinal,numero_peclet_local,k_biodegradacion_1_s,k_sedimentacion_1_s,k_volatilizacion_1_s,k_fotolisis_1_s,k_adsorcion_1_s,fecha_instalacion,estado_operativo,frecuencia_muestreo_dias,responsable_institucional,caudal_estimado_m3_s,tiempo_residencia_h
AMZ-IQT-001,Estacion Amazonas 001,Principal,0,-3.7437,-73.2516,110.5337887,4333,48.5,87.3,1.186,210150.5,4430,26.7,7.01,87,187,5.48,149,294,11.86,0.877,5050.251585,4.034013605,0.000153124,0.000158158,6.01E-05,2.59E-05,0.000256574,2/23/2022,Activa,7,IDEAM-Colombia,249238.493,0.234213978
AMZ-URB-002,Estacion Amazonas 002,Urbana,1,-3.749422,-73.211467,121.7815981,4638,51.7,93.1,1.261,239784.6,4741.4,30.8,6.09,92,179,5.91,69,313.6,12.65,0.935,5771.367337,4.021045918,0.000255631,9.48E-05,9.24E-05,4.78E-05,0.000250807,5/3/2022,Activa,30,SENAMHI-Peru,302368.3806,0.220283725
AMZ-URB-003,Estacion Amazonas 003,Urbana,2,-3.755145,-73.171333,118.1418635,4504,50,90.1,1.216,225200,4604,26.9,6.49,92,202,7.27,147,303.4,12.24,0.905,5426.915,4.007910349,0.000283227,0.000126435,8.05E-05,3.26E-05,0.000128179,1/4/2023,Activa,7,Universidad Nacional Colombia,273843.2,0.228435673
AMZ-URB-004,Estacion Amazonas 004,Urbana,2.84,-3.759979,-73.137428,123.1452108,4684,51.9,93.4,1.256,243099.6,4787.8,24.7,6.5,87,233,5.98,80,314.6,12.69,0.938,5840.482669,3.992371265,0.000221167,0.000182868,7.88E-05,5.87E-05,0.000201885,2/14/2020,Activa,15,IIAP-Peru,305333.0976,0.221160651
AMZ-RUR-005,Estacion Amazonas 005,Rural,5.69,-3.776259,-73.023255,119.0994238,4804,52.7,94.8,1.263,253170.8,4909.4,24.8,6.78,91,225,6.51,152,319.4,12.89,0.953,6084.030996,3.954289292,0.000478096,0.000132686,6.61E-05,1.48E-05,0.000208331,2/13/2021,Activa,30,IDEAM-Colombia,319754.7204,0.219934899
AMZ-RUR-006,Estacion Amazonas 006,Rural,8.53,-3.792538,-72.909083,110.8450695,5024,54.5,98.2,1.294,273808,5133,26.7,6.52,98,209,4.72,159,330.7,13.34,0.986,6592.190069,3.912912005,0.000366101,8.80E-05,6.51E-05,2.30E-05,0.000140608,5/18/2024,Activa,7,SENAMHI-Peru,354307.552,0.21466598
AMZ-RUR-007,Estacion Amazonas 007,Rural,11.38,-3.808817,-72.79491,105.5402817,5458,58.6,105.6,1.378,319838.8,5575.2,25.4,6.75,83,230,6.14,133,355.6,14.35,1.061,7705.686736,3.875140607,0.000466391,7.45E-05,5.53E-05,2.41E-05,0.000139467,2/1/2023,Activa,15,IDEAM-Colombia,440737.8664,0.20158039
AMZ-RUR-008,Estacion Amazonas 008,Rural,14.22,-3.825097,-72.680738,116.3413933,4907,52.2,94,1.215,256145.4,5011.4,27.2,6.72,112,220,7.14,180,316.6,12.78,0.944,6164.964442,3.837650032,0.000272228,0.000169302,8.08E-05,3.33E-05,0.000185944,9/24/2020,Activa,7,Universidad Nacional Amazonia Peruana,311216.661,0.228623685
AMZ-RUR-009,Estacion Amazonas 009,Rural,17.07,-3.841376,-72.566566,112.2923756,5094,53.7,96.6,1.237,273547.8,5201.4,26.4,6.65,114,200,6.68,134,325.5,13.13,0.971,6575.154776,3.80030722,0.000786387,7.63E-05,8.07E-05,6.92E-05,0.000205149,5/3/2020,Activa,7,SINCHI-Colombia,338378.6286,0.224557621
AMZ-RUR-010,Estacion Amazonas 010,Rural,19.91,-3.857655,-72.452393,106.5055068,4478,46.7,84.1,1.066,209122.6,4571.4,27.8,6.88,98,206,5.81,127,283.4,11.43,0.845,5035.019858,3.76146789,0.000167808,0.000104427,8.87E-05,3.29E-05,0.000292682,4/2/2021,Activa,30,IIAP-Peru,222924.6916,0.260579529
AMZ-RUR-011,Estacion Amazonas 011,Rural,22.76,-3.873934,-72.338221,106.2059534,4275,44.2,79.5,0.999,188955,4363.4,25.9,6.68,100,160,6.81,107,267.9,10.81,0.799,4543.684234,3.729003359,0.000380674,0.000107203,7.41E-05,3.67E-05,0.000195066,10/5/2023,Activa,7,SINCHI-Colombia,188766.045,0.278055834
AMZ-RUR-012,Estacion Amazonas 012,Rural,25.6,-3.890214,-72.224048,112.2282956,3793,38.8,69.9,0.869,147168.4,3870.6,26.8,6.68,92,153,5.71,91,235.4,9.5,0.702,3544.430144,3.691588785,0.0003784,0.000130974,5.89E-05,3.22E-05,0.000262066,6/27/2020,Activa,15,Universidad Nacional Colombia,127889.3396,0.319652218
AMZ-RUR-013,Estacion Amazonas 013,Rural,28.45,-3.906493,-72.109876,100.7626483,4074,41.3,74.4,0.916,168256.2,4156.6,28.1,6.86,93,186,6.48,96,250.6,10.11,0.747,4049.301893,3.655227454,0.000272903,0.000142679,6.62E-05,5.01E-05,0.000201031,2/1/2022,Activa,15,IIAP-Peru,154122.6792,0.303250849
